Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
137,Irv Smith Jr.,17,5,Sun,1,1,9/10/23,25-032,CIN,@,CLE,L 3-24,5,3,17,5.7,0,60,3.4,,0,TE
138,Cole Turner,17,2,Sun,1,1,9/10/23,23-178,WAS,,ARI,W 20-16,2,1,17,17,0,50,8.5,1,50,TE
139,Quez Watkins,17,2,Sun,1,1,9/10/23,25-093,PHI,@,NWE,W 25-20,2,2,17,8.5,0,100,8.5,1,100,WR
140,Brock Wright,17,2,Thu,1,1,9/7/23,24-284,DET,@,KAN,W 21-20,2,2,17,8.5,0,100,8.5,,100,TE
141,Damien Harris,16,2,Mon,1,1,9/11/23,26-212,BUF,@,NYJ,L 16-22 (OT),2,2,16,8,0,100,8,,0,RB
142,Laviska Shenault Jr.,16,2,Sun,1,1,9/10/23,24-340,CAR,@,ATL,L 10-24,2,2,16,8,0,100,8,1,50,WR
143,J.K. Dobbins,15,3,Sun,1,1,9/10/23,24-267,BAL,,HOU,W 25-9,3,2,15,7.5,0,66.7,5,0,66.7,RB
144,Darius Slayton,15,5,Sun,1,1,9/10/23,26-241,NYG,,DAL,L 0-40,5,3,15,5,0,60,3,,0,WR
145,DeeJay Dallas,14,1,Sun,1,1,9/10/23,24-359,SEA,,LAR,L 13-30,1,1,14,14,0,100,14,1,100,RB
146,Ezekiel Elliott,14,7,Sun,1,1,9/10/23,28-050,NWE,,PHI,L 20-25,7,5,14,2.8,0,71.4,2,0,28.6,RB
147,Deon Jackson,14,6,Sun,1,1,9/10/23,24-204,IND,,JAX,L 21-31,6,5,14,2.8,0,83.3,2.3,0,33.3,RB
148,Tyler Scott,14,2,Sun,1,1,9/10/23,21-333,CHI,,GNB,L 20-38,2,2,14,7,0,100,7,1,100,WR
149,Raheem Mostert,13,2,Sun,1,1,9/10/23,31-154,MIA,@,LAC,W 36-34,2,2,13,6.5,0,100,6.5,0,0,RB
150,Jaxon Smith-Njigba,13,5,Sun,1,1,9/10/23,21-208,SEA,,LAR,L 13-30,5,3,13,4.3,0,60,2.6,1,20,WR
151,Jordan Akins,12,1,Sun,1,1,9/10/23,31-144,CLE,,CIN,W 24-3,1,1,12,12,0,100,12,1,100,TE
152,Saquon Barkley,12,4,Sun,1,1,9/10/23,26-213,NYG,,DAL,L 0-40,4,3,12,4,0,75,3,2,50,RB
153,Blake Bell,12,3,Thu,1,1,9/7/23,32-031,KAN,,DET,L 20-21,3,2,12,6,1,66.7,4,1,66.7,TE
154,Michael Carter,12,2,Mon,1,1,9/11/23,24-127,NYJ,,BUF,W 22-16 (OT),2,2,12,6,0,100,6,,0,RB
155,Jake Funk,12,1,Sun,1,1,9/10/23,25-242,IND,,JAX,L 21-31,1,1,12,12,0,100,12,1,100,RB
156,Donovan Peoples-Jones,12,2,Sun,1,1,9/10/23,24-203,CLE,,CIN,W 24-3,2,1,12,12,0,50,6,1,50,WR
157,Tony Pollard,12,3,Sun,1,1,9/10/23,26-133,DAL,@,NYG,W 40-0,3,2,12,6,0,66.7,4,1,33.3,RB
158,Adam Thielen,12,2,Sun,1,1,9/10/23,33-019,CAR,@,ATL,L 10-24,2,2,12,6,0,100,6,1,50,WR
159,Jaylen Warren,12,6,Sun,1,1,9/10/23,24-313,PIT,,SFO,L 7-30,6,5,12,2.4,0,83.3,2,1,16.7,RB
160,Jake Ferguson,11,7,Sun,1,1,9/10/23,24-235,DAL,@,NYG,W 40-0,7,2,11,5.5,0,28.6,1.6,,14.3,TE
161,Lil'Jordan Humphrey,11,2,Sun,1,1,9/10/23,25-144,DEN,,LVR,L 16-17,2,2,11,5.5,1,100,5.5,1,100,WR
162,Anthony McFarland Jr.,11,2,Sun,1,1,9/10/23,24-190,PIT,,SFO,L 7-30,2,2,11,5.5,0,100,5.5,1,100,RB
163,Teagan Quitoriano,11,1,Sun,1,1,9/10/23,23-179,HOU,@,BAL,L 9-25,1,1,11,11,0,100,11,1,100,TE
164,KaVontae Turpin,11,3,Sun,1,1,9/10/23,27-039,DAL,@,NYG,W 40-0,3,2,11,5.5,0,66.7,3.7,1,66.7,WR
165,Tyler Boyd,10,3,Sun,1,1,9/10/23,28-299,CIN,@,CLE,L 3-24,3,2,10,5,0,66.7,3.3,,0,WR
166,Michael Gallup,10,2,Sun,1,1,9/10/23,27-190,DAL,@,NYG,W 40-0,2,1,10,10,0,50,5,1,50,WR
167,Antonio Gibson,10,1,Sun,1,1,9/10/23,25-079,WAS,,ARI,W 20-16,1,1,10,10,0,100,10,,0,RB
168,Tyler Lockett,10,4,Sun,1,1,9/10/23,30-347,SEA,,LAR,L 13-30,4,2,10,5,0,50,2.5,1,50,WR
169,Alexander Mattison,10,4,Sun,1,1,9/10/23,25-083,MIN,,TAM,L 17-20,4,3,10,3.3,1,75,2.5,1,25,RB
170,Jerick McKinnon,10,2,Thu,1,1,9/7/23,31-127,KAN,,DET,L 20-21,2,1,10,10,0,50,5,1,50,RB
171,Deven Thompkins,10,3,Sun,1,1,9/10/23,23-261,TAM,@,MIN,W 20-17,3,2,10,5,0,66.7,3.3,1,33.3,WR
172,Rachaad White,10,2,Sun,1,1,9/10/23,24-241,TAM,@,MIN,W 20-17,2,2,10,5,0,100,5,0,50,RB
173,Deonte Harty,9,4,Mon,1,1,9/11/23,25-281,BUF,@,NYJ,L 16-22 (OT),4,3,9,3,0,75,2.3,1,25,WR
174,Chuba Hubbard,9,2,Sun,1,1,9/10/23,24-091,CAR,@,ATL,L 10-24,2,2,9,4.5,0,100,4.5,0,0,RB
175,Xavier Hutchinson,9,1,Sun,1,1,9/10/23,23-101,HOU,@,BAL,L 9-25,1,1,9,9,0,100,9,1,100,WR
176,Quentin Johnston,9,3,Sun,1,1,9/10/23,22-004,LAC,,MIA,L 34-36,3,2,9,4.5,0,66.7,3,1,33.3,WR
177,Christian Kirk,9,3,Sun,1,1,9/10/23,26-296,JAX,@,IND,W 31-21,3,1,9,9,0,33.3,3,,33.3,WR
178,Marvin Mims,9,2,Sun,1,1,9/10/23,21-175,DEN,,LVR,L 16-17,2,2,9,4.5,0,100,4.5,1,50,WR
179,Ty Montgomery,9,3,Sun,1,1,9/10/23,30-231,NWE,,PHI,L 20-25,3,2,9,4.5,0,66.7,3,1,33.3,RB
180,Latavius Murray,9,2,Mon,1,1,9/11/23,33-236,BUF,@,NYJ,L 16-22 (OT),2,1,9,9,0,50,4.5,1,50,RB
181,Dameon Pierce,9,3,Sun,1,1,9/10/23,23-203,HOU,@,BAL,L 9-25,3,2,9,4.5,0,66.7,3,,0,RB
182,Sean Tucker,9,2,Sun,1,1,9/10/23,21-320,TAM,@,MIN,W 20-17,2,2,9,4.5,0,100,4.5,0,50,RB
183,James Conner,8,5,Sun,1,1,9/10/23,28-128,ARI,@,WAS,L 16-20,5,5,8,1.6,0,100,1.6,1,20,RB
184,D'Onta Foreman,8,3,Sun,1,1,9/10/23,27-139,CHI,,GNB,L 20-38,3,2,8,4,0,66.7,2.7,0,0,RB
